范围,题目,答案
中医儿科学,"题干描述：面呈红色，多为
选项A：热证
选项B：寒证
选项C：瘀证
选项D：实证
选项E：虚证",A
中医儿科学,"题干描述：诊断小儿疾病，特别重要的诊查方法是
选项A：按诊
选项B：脉诊
选项C：问诊
选项D：闻诊
选项E：望诊",E
中医儿科学,"题干描述：腹部膨大，肢体瘦弱，发稀，额上青筋显现，多为
选项A：积滞
选项B：厌食
选项C：疳积
选项D：泄泻
选项E：五迟",C
中医儿科学,"题干描述：肺气闭郁的鼻诊特点是
选项A：鼻塞流涕
选项B：鼻孔出血
选项C：鼻孔干燥
选项D：鼻涕浊臭
选项E：鼻翼煽动",E
中医儿科学,"题干描述：小儿血证可闻及的口气为
选项A：臭秽
选项B：腥臭
选项C：臭腐
选项D：酸腐
选项E：酸腐而臭",B
中医儿科学,"题干描述：正常小儿脉象平和，较成人
选项A：浮而稍数
选项B：弦而稍数
选项C：浮而稍缓
选项D：软而稍数
选项E：浮而稍弦",D
中医儿科学,"题干描述：新生儿中药用量应为成人量的
选项A：1／6
选项B：1／3
选项C：1／2
选项D：2／3
选项E：等量",A
中医儿科学,"题干描述：乳婴儿中药用量应为成人量的
选项A：1／6
选项B：1／3
选项C：1／2
选项D：1／2～2／3
选项E：等量",B
中医儿科学,"题干描述：培元补肾法常用于治疗
选项A：五迟五软
选项B：肺炎喘嗽
选项C：幼儿急疹
选项D：手足口病
选项E：脐血脐突",A
中医儿科学,"题干描述：麻疹初期透疹可用下列那位药加黄酒洒擦洗皮肤
选项A：生麻黄
选项B：香薷
选项C：五倍子
选项D：石榴皮
选项E：香樟木",A
中医儿科学,"题干描述：治疗寒喘，宜选用以下哪味药捣烂外敷肺俞穴
选项A：麻黄
选项B：附子
选项C：白芥子
选项D：西河柳
选项E：吴茱萸",C
中医儿科学,"题干描述：治疗痄腮，宜选用以下哪味药捣烂外敷腮部
选项A：马齿苋
选项B：延胡索
选项C：白芥子
选项D：吴茱萸
选项E：芫荽子",A
中医儿科学,"题干描述：以下除哪项外，均为儿科推拿疗法的作用
选项A：神气安定
选项B：经络畅通
选项C：气血循行
选项D：凉血止血
选项E：脏腑调和",D
中医儿科学,"题干描述：患儿，2岁。经常发生惊惕、抽风等症,其病位在
选项A：肺
选项B：脾
选项C：心
选项D：肝
选项E：肾",D
中医儿科学,"题干描述：患儿，12个月。体重10kg，身长65cm，前囟近闭，乳牙7个，不会摆放积木。其中不正常的是
选项A：体重
选项B：身长
选项C：前囟
选项D：乳牙萌出
选项E：精细运动",B
中医儿科学,"题干描述：患儿，3岁。体重10kg。以下诊断中可能性最大的是
选项A：佝偻病
选项B：肥胖症
选项C：侏儒症
选项D：解颅
选项E：营养不良",E
中医儿科学,"题干描述：患儿，5个月。前囟、后囟均未闭合。其囟门闭合情况评价为
选项A：均正常
选项B：均不正常
选项C：前囟正常，后囟不正常
选项D：前囟不正常，后囟正常
选项E：需联系头围情况确定是否正常",C
中医儿科学,"题干描述：患儿18个月。乳牙未萌出。以下诊断中可能性最大的是
选项A：佝偻病
选项B：龋齿
选项C：解颅
选项D：肥胖症
选项E：脑发育不良",A
中医儿科学,"题干描述：患儿，半岁。骤闻异声后，夜里啼哭1个月，每夜发作3～5分钟。其病因是
选项A：感受外邪
选项B：伤乳因素
选项C：惊恐因素
选项D：环境污染
选项E：胎产因素",C
中医儿科学,"题干描述：患儿，3岁。吃瓜子时误吸入气管引起窒息。其病因是
选项A：乳食因素
选项B：先天因素
选项C：情志因素
选项D：意外因素
选项E：其他因素",D
中医儿科学,"题干描述：患儿，5岁。舌苔花剥，经久不愈，状如“地图”。病机多为
选项A：脾之气阳虚弱
选项B：肺脾气阴亏虚
选项C：乳食积滞内停
选项D：胃之气阴不足
选项E：寒湿生冷内停",D
中医儿科学,"题干描述：患儿，2岁。发热3～4天出疹，疹形细小，状如麻粒，口腔黏膜出现“麻疹黏膜斑”者，为
选项A：口疮
选项B：鹅口疮
选项C：麻疹
选项D：痄腮
选项E：发颐",C
中医儿科学,"题干描述：患儿，10个月。大便呈果酱色，伴阵发性哭吵，腹胀。其诊断是
选项A：痢疾
选项B：肠炎
选项C：积滞
选项D：虫积
选项E：肠套叠",E
中医儿科学,"题干描述：患儿，10个月。指纹纹色青紫，多为
选项A：气血不足
选项B：疼痛惊风
选项C：体虚有寒
选项D：寒湿阻滞
选项E：瘀热内结",E
中医儿科学,"题干描述：患儿，6岁。睡中遗尿，每夜1～2次，甚则数次，醒后方觉。伴面色苍白，神疲乏力，肢凉怕冷，腰腿酸软，下肢无力，小便清长，舌质较淡。其治法是
选项A：益气固摄
选项B：补肺健脾
选项C：培元补肾
选项D：健脾益气
选项E：固涩小便",C
中医儿科学,"题干描述：小儿生长发育最快的时期是
选项A：新生儿期
选项B：婴儿期
选项C：幼儿期
选项D：学龄前期
选项E：学龄期",B
中医儿科学,"题干描述：多种小儿急性传染病发病率最高的
选项A：新生儿期
选项B：婴儿期
选项C：幼儿期
选项D：学龄前期
选项E：学龄期",C
中医儿科学,"题干描述：新生儿期是指
选项A：从出生断脐到生后满28天
选项B：出生28天后到满1周岁
选项C：1～3岁
选项D：3～7岁
选项E：7～12岁",A
中医儿科学,"题干描述：幼儿期是指
选项A：从出生断脐到生后满28天
选项B：出生28天后到满1周岁
选项C：1～3岁
选项D：3～7岁
选项E：7～12岁",C
中医儿科学,"题干描述：正常小儿开始会爬的月龄一般是
选项A：2
选项B：4
选项C：6
选项D：8
选项E：10",D
中医儿科学,"题干描述：正常小儿开始会独坐的月龄一般是
选项A：2
选项B：4
选项C：6
选项D：8
选项E：10",C
中医儿科学,"题干描述：小儿可见解颅儿迟五软等先天禀赋不足之病，主要责之于
选项A：肺常不足
选项B：脾常不足
选项C：心常有余
选项D：肝常有余
选项E：肾常虚",E
中医儿科学,"题干描述：小儿易患疳证泄泻，主要责之于
选项A：肺常不足
选项B：脾常不足
选项C：心常有余
选项D：肝常有余
选项E：肾常虚",B
中医儿科学,"题干描述：睡中露睛多属
选项A：心神失养
选项B：肝风内动
选项C：脾虚气弱
选项D：胃气不和
选项E：肺气虚弱",C
中医儿科学,"题干描述：两目直视，瞪目不活多属
选项A：心神失养
选项B：肝风内动
选项C：脾虚气弱
选项D：胃气不和
选项E：肺气虚弱",B
中医儿科学,"题干描述：下列关于大黄法祛除胎毒的用法中不正确的是
选项A：用生大黄
选项B：略煮
选项C：胎粪通下后停服
选项D：脾虚气弱者勿用
选项E：胎粪通下后继续服用",E
中医儿科学,"题干描述：预防脐风最重要的措施是
选项A：孕妇勿感风邪
选项B：产妇勿感风邪
选项C：小儿生后避风
选项D：清洁断脐护脐
选项E：脐疮防其走黄",D
中医儿科学,"题干描述：不属于小儿正常断奶季节是
选项A：春季
选项B：酷暑
选项C：初秋
选项D：深秋
选项E：初冬",B
中医儿科学,"题干描述：母乳喂养应遵循的原则是
选项A：按时
选项B：按需
选项C：按量
选项D：按时按量
选项E：按时不按量",B
中医儿科学,"题干描述：下列各项，属于新生儿病态的是
选项A：马牙
选项B：胎怯
选项C：螳螂子
选项D：女婴生后3～5天乳房隆起如蚕豆到鸽蛋大小，2～3周消退
选项E：女婴生后5～7天阴道有少量流血，1～3天自止",B
中医儿科学,"题干描述：关于孕妇饮食，下列说法中可取的是
选项A：大冷之物
选项B：大热之物
选项C：甘肥厚味
选项D：营养丰富
选项E：辛辣炙焯",D
中医儿科学,"题干描述：下列药物中，不属于妊娠禁忌药的是
选项A：白术
选项B：大戟
选项C：斑蝥
选项D：麝香
选项E：乌头",A
中医儿科学,"题干描述：小儿可以完全断乳的适当年龄是
选项A：8～12个月
选项B：7～10个月
选项C：12～14个月
选项D：6～8个月
选项E：14～16个月",A
中医儿科学,"题干描述：不适宜给小儿断奶的季节是
选项A：春季
选项B：夏季
选项C：秋季
选项D：深秋
选项E：以上都不适宜",B
中医儿科学,"题干描述：在下列情况中，母亲仍应哺乳的是
选项A：乳汁数量少
选项B：患有传染病
选项C：重症心脏病
选项D：重症肾脏病
选项E：身体过弱",A
中医儿科学,"题干描述：下列关于添加辅食原则的说法中，不正确的是
选项A：由少到多
选项B：由稀到稠
选项C：由稠到稀
选项D：由细到粗
选项E：品种渐增",C
中医儿科学,"题干描述：患儿，4个月。前日其母给其喂蛋黄后，出现哭闹不安，大便干结，吃奶测少。此时应采取的措施是
选项A：暂停母乳喂养
选项B：暂停添加辅食
选项C：继续添加辅食
选项D：改为人工喂养
选项E：改为混合喂养",B
中医儿科学,"题干描述：患儿，出生后4天。家长发现小儿两侧颊部各有一个垫状隆起，可活动。以下观点中正确的是
选项A：影响吸乳，消毒后挑割
选项B：影响吸乳，手术切除
选项C：应予治疗，解毒消肿
选项D：有利吸乳，不予处理
选项E：有利吸乳，但易感染",D
中医儿科学,"题干描述：患儿，出生1天。面目红赤，多啼声响，无胎粪排出。最可能的原因是
选项A：胎毒
选项B：胎怯
选项C：胎惊
选项D：五硬
选项E：胎寒",A
中医儿科学,"题干描述：新生儿上腭中线和齿龈部位有散在黄白色碎米大小隆起，称为
选项A：马牙
选项B：螳螂子
选项C：胎黄
选项D：胎毒
选项E：口疮",A
中医儿科学,"题干描述：新生儿两侧颊部各有一脂肪垫隆起，称为
选项A：马牙
选项B：螳螂子
选项C：胎黄
选项D：胎毒
选项E：口疮",B
中医儿科学,"题干描述：患儿，出生9天。诊断为胎怯。症见气弱声低，皮肤薄嫩，胎毛细软。其病机是
选项A：心虚
选项B：肺虚
选项C：肝虚
选项D：脾虚
选项E：肾虚",B
中医儿科学,"题干描述：患儿，出生8天，诊断为胎怯。症见肌肤欠温，耳郭软，指甲软短，骨弱肢柔，睾丸不降。其病机是
选项A：心虚
选项B：肺虚
选项C：肝虚
选项D：脾虚
选项E：肾虚",E
中医儿科学,"题干描述：患儿，出生9天。诊断为胎怯。症见肌肉瘠薄，痿软无力，吮乳量少，呛乳溢乳，便下稀薄，目肤黄疸。其病机是
选项A：心虚
选项B：肺虚
选项C：肝虚
选项D：脾虚
选项E：肾虚",D
中医儿科学,"题干描述：胎怯的关键病机是
选项A：脾肾两虚
选项B：肺肾两虚
选项C：肝肾不足
选项D：肺脾两虚
选项E：五脏不足",A
中医儿科学,"题干描述：下列各项，对胎怯的描述错误的是
选项A：只包括早产儿
选项B：出生体重低于2500g
选项C：相当于西医学低出生体重儿
选项D：成为围生期死亡的主要原因之一
选项E：易并发硬肿症、败血症、新生儿窒息、黄疸等疾病",A
中医儿科学,"题干描述：胎怯的病变脏腑主要在
选项A：脾、肾
选项B：心、肝
选项C：心、肾
选项D：心、脾
选项E：肝、肾",A
中医儿科学,"题干描述：胎怯的基本治疗法则是
选项A：补肾培元
选项B：健脾益气
选项C：补肝强筋
选项D：补气养血
选项E：温运脾阳",A
中医儿科学,"题干描述：治疗胎怯肾精薄弱证首选方是
选项A：保元汤
选项B：归脾汤
选项C：金匮肾气丸
选项D：补肾地黄丸
选项E：六味地黄丸",D
中医儿科学,"题干描述：治疗胎怯脾肾两虚证首选方是
选项A：归脾汤
选项B：六味地黄丸
选项C：保元汤
选项D：补肾地黄丸
选项E：金贵肾气丸",C
中医儿科学,"题干描述：患儿，出生1天。孕期8月早产。体短形瘦，头大囟张，头发稀黄，耳壳薄软，哭声低微，肌肤不温，指甲软短，骨弱肢柔，指纹淡。其证候是
选项A：肾精薄弱
选项B：肝脾两虚
选项C：肺气虚弱
选项D：脾肾两虚
选项E：心脾不足",A
中医儿科学,"题干描述：患儿，出生7天。足月顺产。啼哭无力，多卧少动，肌肉瘠薄，四肢不温，吮乳乏力，呛乳溢乳，哽气多哕，腹胀腹泻，指纹淡。治疗首选方是
选项A：保元汤
选项B：生脉饮
选项C：六味地黄汤
选项D：补肾地黄汤
选项E：金匮肾气丸",A
中医儿科学,"题干描述：患儿，出生10天。诊断为胎怯。证见啼哭无力，多卧少动，皮肤干皱，肌肉瘠薄，四肢不温，吮乳乏力，呛乳溢乳，腹胀腹泻，甚而水肿，指纹淡。其证侯为
选项A：肾精薄弱
选项B：心脾不足
选项C：肺气虚弱
选项D：脾肾两虚
选项E：肝脾两虚",D
中医儿科学,"题干描述：患儿，出生10天。身长43cm，体重2300g，囟门3cm×3cm，头发稀黄，耳壳薄软、贴于两颞，啼哭时唇口紫绀，四肢不温，多卧少动，指纹淡。其治法是
选项A：健脾益肾，温运脾阳
选项B：益气活血，补精充髓
选项C：益精充髓，补肾温阳
选项D：益气健脾，养心安神
选项E：活血化瘀，益精充髓",C
中医儿科学,"题干描述：治疗肾精薄弱证胎怯应首选的方剂是
选项A：补肾地黄丸
选项B：六味地黄丸
选项C：金匮肾气丸
选项D：大补阴丸
选项E：保元汤",A
中医儿科学,"题干描述：治疗脾肾两虚证胎怯应首选的方剂是
选项A：补肾地黄丸
选项B：六味地黄丸
选项C：金匮肾气丸
选项D：大补阴丸
选项E：保元汤",E
中医儿科学,"题干描述：对于硬肿症的临床表现描述错误的是
选项A：可见紧张性水肿
选项B：腋温-肛温差由正值变为负值
选项C：低体温，体温<35℃，严重者<30℃
选项D：硬肿为对称性，依次为双下肢、臀、面颊、两上肢、背、腹、胸部等
选项E：患儿不吃、不哭、少动，严重者可伴有休克、肺出血及多脏器功能衰竭",A
中医儿科学,"题干描述：治疗硬肿症阳气虚衰证首选方是
选项A：四逆汤
选项B：参附汤
选项C：金匮肾气丸
选项D：当归四逆汤
选项E：血府逐瘀汤",B
中医儿科学,"题干描述：治疗硬肿症寒凝血涩证首选方是
选项A：四逆汤
选项B：参附汤
选项C：金匮肾气丸
选项D：当归四逆汤
选项E：血府逐瘀汤",D
中医儿科学,"题干描述：硬肿症的内因是
选项A：肾阳虚衰
选项B：脾肾阳虚
选项C：肺脾气虚
选项D：肝肾阴虚
选项E：脾肾两虚",A
中医儿科学,"题干描述：患儿，生后2天。症见全身冰冷，肌肤板硬而肿，范围波及全身，气息微弱，僵卧少动，哭声低怯，吸吮困难，反应极差，皮肤暗红，尿少或尤，面色苍白，唇舌色淡，指纹淡红不显。其证候是
选项A：寒凝血涩
选项B：阳气虚衰
选项C：脾肾虚衰
选项D：肺脾气虚
选项E：气滞血瘀",B
中医儿科学,"题干描述：患儿，出生7天。全身不温，四肢发凉，反应尚可，哭声较低，肌肤硬肿，难以捏起，臀部与小腿皮肤硬肿，颜色暗红如陈伤，指纹紫暗。其证候是
选项A：热毒壅滞
选项B：寒凝血涩
选项C：气弱欲绝
选项D：脾肾两虚
选项E：阳气虚衰",B
中医儿科学,"题干描述：患儿，出生10天。全身冰冷，僵卧少动，反应极差，气息微弱，哭声低怯，面色苍白，肌肤板硬而肿，范围波及全身，皮肤暗红，少尿。唇舌色淡，指纹淡红。治疗首选方
选项A：参附汤
选项B：四逆汤
选项C：理中汤
选项D：附子理中汤
选项E：黄芪建中汤",A
中医儿科学,"题干描述：患儿，出生8天。出生时体重2000g，啼声细弱无力，全身冰冷，僵卧少动，面色苍白，肌肉板硬而肿，硬肿范围达60％，皮肤暗红，少尿，指纹色红不显。其治法是
选项A：益气养心，活血化瘀
选项B：通经活络，利水消肿
选项C：益气温阳，通经活血
选项D：益气温阳，利水消肿
选项E：温经散寒，益气活血",C
中医儿科学,"题干描述：治疗硬肿症阳气虚衰证应首选的方剂是
选项A：参附汤
选项B：血府逐瘀汤
选项C：附子理中汤
选项D：当归四逆汤
选项E：人参五味汤",A
中医儿科学,"题干描述：治疗硬肿症寒凝血涩证应首选的方剂是
选项A：参附汤
选项B：血府逐瘀汤
选项C：附子理中汤
选项D：当归四逆汤
选项E：人参五味汤",D
中医儿科学,"题干描述：患儿，出生32天。症见面目皮肤发黄，色泽晦暗，持久不退，精神委靡，四肢欠温，纳呆，大便溏薄色灰白，小便短少，舌质淡，苔白腻。其证候是
选项A：寒湿阻滞
选项B：气滞血瘀
选项C：湿热郁蒸
选项D：胎黄动风
选项E：胎黄虚脱",A
中医儿科学,"题干描述：患儿，生后l天。症见面目皮肤发黄，色泽鲜明如橘，哭声响亮，不欲吮乳，口渴唇干，大便秘结，小便深黄，舌质红，苔黄腻。其治法是
选项A：行气化瘀消积
选项B：温中化湿退黄
选项C：清热利湿退黄
选项D：平肝息风，利湿退黄
选项E：大补元气，温阳固脱",C
中医儿科学,"题干描述：下列病机中，不属于胎黄病机的是
选项A：脾胃湿热
选项B：寒湿内蕴
选项C：肺失通调
选项D：肝失疏泄
选项E：气滞血瘀",C
中医儿科学,"题干描述：下列属于病理性黄疸的是
选项A：生后24h以内出现黄疸
选项B：生后第2～3日出现黄疽，第4～6日达高峰
选项C：足月儿在生后2周消退，早产儿可延迟至3～4周消退
选项D：足月儿血清总胆红素≤221μmol／L，早产儿≤257μmol／L
选项E：小儿一般情况良好，除偶有轻微食欲不振外，不伴有其他临床症状",A
中医儿科学,"题干描述：胎黄的病变脏腑是
选项A：肝胆、脾胃
选项B：心小肠、肝胆
选项C：肾膀胱、脾胃
选项D：肺大肠、肝胆
选项E：肾膀胱、心肺",A
中医儿科学,"题干描述：面目皮肤发黄，颜色逐渐加深，晦暗无华，右胁下痞块质硬，肚腹膨胀，青筋显露，唇色暗红，舌见瘀点，苔黄；证属
选项A：肠腑阻结证
选项B：寒湿内蕴证
选项C：脾运失职证
选项D：肝失疏泄证
选项E：气滞血瘀证",E
中医儿科学,"题干描述：治疗寒湿阻滞证胎黄的基本法则是
选项A：利水渗湿退黄
选项B：化瘀消积退黄
选项C：清热利湿退黄
选项D：温中化湿退黄
选项E：疏肝利胆退黄",D
中医儿科学,"题干描述：治疗胎黄湿热郁蒸证首选方是
选项A：茵陈蒿汤
选项B：茵陈理中汤
选项C：血府逐瘀汤
选项D：羚角钩藤汤
选项E：藿朴夏苓汤",A
中医儿科学,"题干描述：下列表现中，属于生理性胎黄的是
选项A：生后24小时出现黄疸
选项B：足月儿在出生后2周消退
选项C：黄疸消退后复现
选项D：黄疸持续3周以上
选项E：血清总胆红素300μmol／L",B
中医儿科学,"题干描述：患儿，出生26天。黄疸未退，皮肤色黄无光泽，精神萎靡，四肢不温，大便灰白而溏，舌淡苔白腻。其治法是
选项A：清热利湿
选项B：温中化湿
选项C：化瘀消积
选项D：平肝熄风
选项E：温阳固脱",B
中医儿科学,"题干描述：患儿，出生30天。黄疸持续不退，面目皮肤发黄，晦暗无光泽，右胁下痞块渐大，腹部胀满，口唇暗红。辨证为气滞血瘀证，最主要的辨证依据是
选项A：腹部胀满
选项B：黄疸不退
选项C：全身黄疸
选项D：黄疸晦暗
选项E：右胁下痞块",E
中医儿科学,"题干描述：患儿，出生10天。面目皮肤发黄，色泽鲜明如橘，哭声响亮，不欲吮乳，口渴唇干，或有发热，大便秘结，小便深黄，舌质红，苔黄腻；其证型是
选项A：湿热郁蒸证
选项B：寒湿内蕴证
选项C：脾气虚弱证
选项D：肝失疏泄证
选项E：气滞血瘀证",A
中医儿科学,"题干描述：患儿，出生32天。面目皮肤发黄，色泽晦暗，持久不退，腹胀，全身散在瘀斑，大便溏薄，舌有瘀点，苔黄。治疗首选方是
选项A：茵陈蒿汤
选项B：茵陈理中汤
选项C：茵陈五苓散
选项D：血府逐瘀汤
选项E：归脾汤",D
中医儿科学,"题干描述：胎黄寒湿阻滞证常见
选项A：神昏抽搐
选项B：肌肤硬肿
选项C：右胁下痞块，腹壁青筋暴露
选项D：肤黄色晦暗，大便溏薄灰白
选项E：口渴口唇干，小便黄赤短少",D
中医儿科学,"题干描述：胎黄气滞血瘀证常见
选项A：神昏抽搐
选项B：肌肤硬肿
选项C：右胁下痞块，腹壁青筋暴露
选项D：肤黄色晦暗，大便溏薄灰白
选项E：口渴口唇干，小便黄赤短少",C
中医儿科学,"题干描述：小儿时邪感冒的主要特点是
选项A：恶寒发热，鼻塞流涕，舌淡苔薄白
选项B：发热头痛，身重困倦，舌红苔黄腻
选项C：发热恶风，咽红肿痛，舌红苔薄黄
选项D：起病急骤，高热恶寒，肌肉酸痛
选项E：恶寒发热，脘腹胀痛，呕吐酸腐",D
中医儿科学,"题干描述：治疗小儿风寒感冒的首选方是
选项A：麻黄汤
选项B：杏苏散
选项C：小青龙汤
选项D：新加香薷饮
选项E：荆防败毒散",E
中医儿科学,"题干描述：治疗小儿暑邪感冒的首选方剂是
选项A：银翘散
选项B：香薷饮
选项C：桑菊饮
选项D：藿朴夏苓汤
选项E：新加香薷饮",E
中医儿科学,"题干描述：患儿，2岁。发热2小时。证见发热，恶寒，无汗，鼻塞，流清涕，微咳，咽部不红，纳少，舌淡红，苔薄白，指纹浮红。其证候是
选项A：风寒感冒
选项B：风热感冒
选项C：暑邪感冒
选项D：时邪感冒
选项E：感冒夹滞",A
中医儿科学,"题干描述：患儿，7岁。时值夏令，骤起发热，汗出热不解，头昏，头痛，胸闷，肢体困倦，泛恶，心烦口渴，食欲不振，大便稀溏，小便短黄，舌质红，苔黄腻，脉数。其证候是
选项A：风热感冒
选项B：时邪感冒
选项C：暑邪感冒
选项D：感冒夹滞
选项E：感冒夹痰",C
中医儿科学,"题干描述：患儿，5岁。证见发热，恶寒，无汗，鼻塞流涕，微咳，兼见脘腹胀满，呕吐酸腐，口气秽浊，大便酸臭，小便短黄，舌质红，苔厚腻，脉滑。其病证是
选项A：呕吐
选项B：腹痛
选项C：积滞
选项D：伤食泻
选项E：感冒夹滞",E
中医儿科学,"题干描述：患儿，9岁。发热半日，伴见恶风，少汗，头痛，鼻塞流涕，咽红肿痛，微咳，舌质红，苔薄黄，脉浮数。其选方是
选项A：桑菊饮
选项B：桑杏汤
选项C：银翘散
选项D：新加香薷饮
选项E：普济消毒饮",C
中医儿科学,"题干描述：患儿，10个月。时当八月，发热，无汗，烦躁哭闹，咽红，身重困倦，食欲不振，呕吐乳食，大便稀溏，小便短黄，舌质红，苔黄腻，脉数。其治法是
选项A：辛温解表
选项B：辛凉解表
选项C：清热解毒
选项D：清暑解表
选项E：清热导滞",D
中医儿科学,"题干描述：患儿，5岁。发热2日。证见发热，恶寒，无汗，头痛，鼻塞，流清涕，咳嗽阵作，喉间痰鸣，舌淡红，苔白，脉浮滑。其治法，应在解表的基础上加用
选项A：温肺化饮
选项B：肃肺化痰
选项C：宣肺化痰
选项D：清肺化痰
选项E：涤痰降气",C
中医儿科学,"题干描述：患儿，2岁。发热1天。证见高热，恶寒，无汗，鼻塞，惊惕哭闹，睡卧不宁，大便干结，小便短黄，舌质红，指纹紫达于气关。其治法，应在解表的基础上加用
选项A：清热镇惊
选项B：清心开窍
选项C：清肝熄风
选项D：清热解毒
选项E：通腑泄热",A
中医儿科学,"题干描述：感冒夹滞的病位在肺和
选项A：脾
选项B：心肝
选项C：肺
选项D：大肠
选项E：肾",A
中医儿科学,"题干描述：感冒夹惊的病位在肺和
选项A：脾
选项B：心肝
选项C：肺
选项D：大肠
选项E：肾",B
中医儿科学,"题干描述：小儿风热感冒证见
选项A：发热，恶寒，无汗，鼻塞，流清涕，喷嚏，微咳
选项B：发热，恶风，少汗，头痛，鼻塞流浊涕，咽红肿痛
选项C：高热，恶寒，无汗，头痛，目赤咽红，肌肉酸痛
选项D：发热，恶寒，无汗，鼻塞流涕，微咳，脘腹胀满
选项E：高热，无汗，惊惕哭闹，睡卧不宁，骤然抽风",B
中医儿科学,"题干描述：小儿时邪感冒证见
选项A：发热，恶寒，无汗，鼻塞，流清涕，喷嚏，微咳
选项B：发热，恶风，少汗，头痛，鼻塞流浊涕，咽红肿痛
选项C：高热，恶寒，无汗，头痛，目赤咽红，肌肉酸痛
选项D：发热，恶寒，无汗，鼻塞流涕，微咳，脘腹胀满
选项E：高热，无汗，惊惕哭闹，睡卧不宁，骤然抽风",C
中医儿科学,"题干描述：乳蛾肺胃阴虚证应首选的方剂是
选项A：银翘马勃散
选项B：牛蒡甘桔汤
选项C：养阴清肺汤
选项D：普济消毒饮
选项E：荆防败毒散",C
中医儿科学,"题干描述：乳蛾的治疗原则是
选项A：清热解毒，利咽消肿
选项B：疏风清热，利咽消肿
选项C：养阴润肺，软坚利咽
选项D：辛温解表，疏风散寒
选项E：清热解毒，软坚散结",A
中医儿科学,"题干描述：关于乳蛾的诊断要点，说法错误的是
选项A：以咽痛为主要症状
选项B：急性乳蛾病程短
选项C：一定伴有发热症状
选项D：可见扁桃体肿大
选项E：可伴有吞咽困难",C
中医儿科学,"题干描述：乳蛾风热搏结证的治法
选项A：疏风清热，利咽消肿
选项B：清热解毒，利咽消肿
选项C：养阴润肺，利咽消肿
选项D：滋阴清热，软坚利咽
选项E：清热解毒，软坚利咽",A
中医儿科学,"题干描述：患儿，4岁。咽痛6天。喉核肿大暗红，咽干咽痒，日久不愈，干咳少痰，大便干结，小便黄少，舌质红，苔少，脉细数。应首选的方剂是
选项A：银翘马勃散
选项B：牛蒡甘桔汤
选项C：养阴清肺汤
选项D：普济消毒饮
选项E：荆防败毒散",C
中医儿科学,"题干描述：患儿，4岁。咽痛1周。喉核肿大暗红，咽干咽痒，日久不愈，干咳少痰，大便干结，小便黄少，舌质红，苔少，脉细数。其治法是
选项A：疏风清热，利咽消肿.
选项B：清热解毒，利咽消肿
选项C：养阴润肺，软坚利咽
选项D：清热解毒，软解散结
选项E：利咽消肿，活血化瘀",C
